PDB_Name,PDB_ID,Max_PDB_TM
length_140_8_82.pdb,6r0y.cif.gz_J,0.5487
length_475_0_83.pdb,6vq7.cif.gz_g,0.7278
length_415_7_14.pdb,1m62.cif.gz_MODEL_7_A,0.5784
length_275_9_89.pdb,7uek.cif.gz_A,0.7761
length_270_6_64.pdb,5td2.cif.gz_B,0.8205
length_405_0_74.pdb,6w6v.cif.gz_L,0.5662
length_415_4_81.pdb,3nyw.cif.gz_C,0.7035
length_145_1_89.pdb,4xs5.cif.gz_B,0.6551
length_260_7_48.pdb,4mld.cif.gz_C,0.6395
length_150_5_58.pdb,1vyg.cif.gz_A,0.5374
length_125_9_28.pdb,7v1l.cif.gz_B,0.6052
length_280_7_9.pdb,6wvs.cif.gz_A,0.781
length_360_0_78.pdb,3lrx.cif.gz_C,0.6628
length_345_8_82.pdb,8ju8.cif.gz_A,0.7231
length_170_9_1.pdb,6vfi.cif.gz_A,0.546
length_120_4_94.pdb,7q83.cif.gz_D,0.7448
length_160_4_14.pdb,5f0k.cif.gz_B,0.6679
length_295_2_78.pdb,7tt7.cif.gz_P,0.6451
length_115_8_63.pdb,4qc1.cif.gz_B,0.9813
length_285_9_16.pdb,4jgk.cif.gz_C,0.5665
length_270_4_35.pdb,3cg0.cif.gz_C,0.7242
length_130_6_87.pdb,4l4u.cif.gz_A,0.8225
length_320_1_2.pdb,6clu.cif.gz_D,0.6507
length_190_9_41.pdb,5noc.cif.gz_MODEL_1_A,0.6496
length_220_9_68.pdb,5ok1.cif.gz_A,0.8587
length_300_8_74.pdb,3jr2.cif.gz_A,0.7485
length_355_3_13.pdb,4myg.cif.gz_B,0.8866
length_310_2_34.pdb,4n2y.cif.gz_A,0.7398
length_305_6_4.pdb,7uek.cif.gz_A,0.7182
length_325_4_79.pdb,3ds8.cif.gz_A,0.6434
length_235_9_49.pdb,4ay7.cif.gz_A,0.7036
length_210_1_19.pdb,3q15.cif.gz_C,0.7762
