PDB_Name,PDB_ID,Max_PDB_TM
length_140_8_82.pdb,8fwi.cif.gz_A,0.4465
length_475_0_83.pdb,7z84.cif.gz_L,0.5097
length_415_7_14.pdb,7r5j.cif.gz_K0,0.3864
length_275_9_89.pdb,7oms.cif.gz_DDD,0.7728
length_270_6_64.pdb,3dkc.cif.gz_A,0.7929
length_405_0_74.pdb,4lep.cif.gz_A,0.4277
length_415_4_81.pdb,1gon.cif.gz_B,0.5218
length_145_1_89.pdb,7b7p.cif.gz_A,0.6285
length_260_7_48.pdb,3m1r.cif.gz_A,0.5282
length_150_5_58.pdb,6pzf.cif.gz_B,0.5225
length_125_9_28.pdb,8ff9.cif.gz_B,0.5671
length_280_7_9.pdb,8aua.cif.gz_B,0.6857
length_360_0_78.pdb,3bv4.cif.gz_A,0.5183
length_345_8_82.pdb,3ot5.cif.gz_C,0.4391
length_170_9_1.pdb,6vfi.cif.gz_A,0.546
length_120_4_94.pdb,7q83.cif.gz_D,0.7448
length_160_4_14.pdb,5f0k.cif.gz_B,0.6679
length_295_2_78.pdb,3jty.cif.gz_B,0.5149
length_115_8_63.pdb,4nr9.cif.gz_A,0.9454
length_285_9_16.pdb,7whe.cif.gz_A,0.5137
length_270_4_35.pdb,3eif.cif.gz_A,0.6324
length_130_6_87.pdb,4l4u.cif.gz_A,0.8225
length_320_1_2.pdb,5ks8.cif.gz_D,0.5408
length_190_9_41.pdb,3kst.cif.gz_B,0.4393
length_220_9_68.pdb,5ok1.cif.gz_A,0.8517
length_300_8_74.pdb,6cgt.cif.gz_A,0.65
length_355_3_13.pdb,8h59.cif.gz_A,0.8573
length_310_2_34.pdb,6d2w.cif.gz_B,0.657
length_305_6_4.pdb,5y3x.cif.gz_F,0.6265
length_325_4_79.pdb,5yj7.cif.gz_B,0.5559
length_235_9_49.pdb,4ay7.cif.gz_A,0.7036
length_210_1_19.pdb,6m9u.cif.gz_A,0.6909
length_110_5_35.pdb,3uw9.cif.gz_A,0.9202
length_455_7_81.pdb,5yj7.cif.gz_B,0.5198
length_360_2_91.pdb,6xte.cif.gz_A,0.6914
length_340_5_79.pdb,8b8j.cif.gz_B,0.3983
length_455_1_35.pdb,7yg4.cif.gz_A,0.3704
length_295_9_3.pdb,6iwd.cif.gz_A,0.7049
