PDB_Name,PDB_ID,Max_PDB_TM
length_335_7_8.pdb,7uek.cif.gz_A,0.6706
length_495_9_24.pdb,2ksy.cif.gz_MODEL_3_A,0.6285
length_305_5_62.pdb,3kip.cif.gz_I,0.6641
length_240_0_58.pdb,6wvs.cif.gz_A,0.8419
length_275_6_47.pdb,4xg9.cif.gz_A,0.9723
length_145_1_76.pdb,6e5c.cif.gz_MODEL_5_A,0.6955
length_305_0_11.pdb,3fni.cif.gz_A,0.5797
length_390_9_65.pdb,7jh6.cif.gz_A,0.7505
length_450_8_81.pdb,5cwf.cif.gz_D,0.6007
length_455_1_72.pdb,6xr2.cif.gz_B,0.6602
length_240_6_14.pdb,6lth.cif.gz_L,0.7357
length_130_7_44.pdb,1gbo.cif.gz_A,0.9899
length_110_0_53.pdb,5uiy.cif.gz_D,0.971
length_310_2_21.pdb,2rbg.cif.gz_B,0.6876
length_230_6_49.pdb,5lsc.cif.gz_A,0.9326
length_140_6_88.pdb,7a0g.cif.gz_FFF,0.6891
length_280_3_88.pdb,3pj1.cif.gz_A,0.9498
length_320_5_26.pdb,3jr2.cif.gz_A,0.777
length_380_3_37.pdb,6xz3.cif.gz_A,0.6649
length_270_4_67.pdb,3qgw.cif.gz_B,0.9604
length_150_8_95.pdb,2jcp.cif.gz_A,0.9797
length_495_8_18.pdb,7kka.cif.gz_B,0.6812
length_385_6_67.pdb,6e9x.cif.gz_C,0.6118
length_430_4_90.pdb,7snb.cif.gz_A,0.5756
length_305_1_80.pdb,4dyu.cif.gz_K,0.6327
length_170_5_38.pdb,5uqw.cif.gz_B,0.9903
length_355_9_51.pdb,1nsj.cif.gz_A,0.7655
length_135_0_42.pdb,7yf1.cif.gz_A,0.9506
length_185_1_33.pdb,4lda.cif.gz_G,0.6977
length_315_5_27.pdb,4l85.cif.gz_A,0.7658
length_105_0_35.pdb,5or8.cif.gz_A,0.9828
length_170_4_44.pdb,2mx8.cif.gz_MODEL_9_A,0.5962
length_180_0_94.pdb,2amm.cif.gz_X,0.949
length_250_8_49.pdb,3wa5.cif.gz_B,0.615
length_365_7_93.pdb,7smj.cif.gz_A,0.8121
length_375_3_33.pdb,1sfl.cif.gz_B,0.6748
length_250_1_99.pdb,3r7n.cif.gz_A,0.6493
length_170_1_62.pdb,6ms9.cif.gz_C,0.9784
length_100_2_55.pdb,6h81.cif.gz_A,0.6337
length_195_1_63.pdb,2kd2.cif.gz_MODEL_14_A,0.5474
length_420_5_6.pdb,1nog.cif.gz_A,0.5798
length_185_0_48.pdb,6meb.cif.gz_B,0.7985
length_400_0_45.pdb,3tr2.cif.gz_B,0.7271
length_350_6_56.pdb,7uek.cif.gz_A,0.7395
length_465_3_13.pdb,4hyj.cif.gz_B,0.6022
length_290_1_24.pdb,6hzv.cif.gz_C,0.9651
length_320_0_40.pdb,4ab6.cif.gz_B,0.7117
length_290_7_90.pdb,6hzv.cif.gz_D,0.9737
length_365_2_2.pdb,1ub3.cif.gz_B,0.6944
length_235_2_37.pdb,7sqc.cif.gz_1H,0.6982
length_205_1_80.pdb,4l85.cif.gz_B,0.7216
length_140_4_1.pdb,1pmp.cif.gz_A,0.8874
length_315_0_14.pdb,5cwj.cif.gz_A,0.7406
length_345_4_61.pdb,6vga.cif.gz_MODEL_16_A,0.7
length_415_1_83.pdb,1kjn.cif.gz_B,0.7238
length_190_1_24.pdb,5wp3.cif.gz_B,0.6528
length_280_0_9.pdb,4wfq.cif.gz_A,0.5334
length_430_3_91.pdb,6e9x.cif.gz_C,0.691
length_260_1_1.pdb,1zit.cif.gz_MODEL_35_A,0.7767
length_180_7_8.pdb,2gjs.cif.gz_A,0.9138
length_425_4_87.pdb,4kw2.cif.gz_A,0.6516
length_485_6_8.pdb,7nna.cif.gz_A,0.6786
length_145_4_21.pdb,4eit.cif.gz_B,0.7628
length_470_5_100.pdb,6kki.cif.gz_A,0.5288
length_435_8_34.pdb,3kbt.cif.gz_B,0.6357
length_195_0_96.pdb,4l85.cif.gz_B,0.7042
length_355_8_2.pdb,4n2y.cif.gz_D,0.7207
length_185_2_28.pdb,2gsc.cif.gz_C,0.6818
length_215_5_43.pdb,2a2y.cif.gz_MODEL_1_A,0.7153
length_325_0_55.pdb,4kio.cif.gz_C,0.87
length_270_1_30.pdb,1snu.cif.gz_B,0.9265
length_120_7_88.pdb,1k5a.cif.gz_A,0.9788
length_145_5_48.pdb,6vd9.cif.gz_C,0.6874
length_175_3_74.pdb,6vga.cif.gz_MODEL_16_A,0.7167
length_275_7_58.pdb,4kio.cif.gz_D,0.9738
length_415_5_33.pdb,7z8f.cif.gz_m,0.4761
length_255_9_32.pdb,5auq.cif.gz_E,0.6251
length_500_8_20.pdb,2lrh.cif.gz_MODEL_8_A,0.5375
length_370_1_22.pdb,4n2y.cif.gz_C,0.7144
length_395_6_41.pdb,7n6g.cif.gz_3I,0.6536
length_355_7_92.pdb,7bmh.cif.gz_A,0.5136
length_295_6_54.pdb,3b6e.cif.gz_A,0.6093
length_335_5_71.pdb,5cwb.cif.gz_A,0.5191
length_490_3_26.pdb,3lrx.cif.gz_F,0.7271
length_210_7_23.pdb,3eqz.cif.gz_A,0.7506
length_390_3_44.pdb,3f4w.cif.gz_B,0.7152
length_275_9_12.pdb,3d7u.cif.gz_C,0.9245
length_325_7_37.pdb,7uek.cif.gz_A,0.7594
length_400_6_78.pdb,6c3p.cif.gz_E,0.451
length_195_2_80.pdb,3n2e.cif.gz_C,0.7745
length_260_4_13.pdb,4uhu.cif.gz_A,0.8857
length_260_7_79.pdb,1kjn.cif.gz_B,0.7188
length_230_7_16.pdb,5cwj.cif.gz_A,0.7703
length_210_9_83.pdb,4ke2.cif.gz_C,0.7817
length_340_6_8.pdb,7sqc.cif.gz_1H,0.7132
length_280_9_51.pdb,2f6f.cif.gz_A,0.9916
length_185_4_71.pdb,4rfv.cif.gz_B,0.7849
length_180_4_52.pdb,6pgo.cif.gz_B,0.9289
length_125_7_13.pdb,3q2e.cif.gz_A,0.8899
length_360_9_33.pdb,6idp.cif.gz_A,0.5316
length_235_5_41.pdb,3qsz.cif.gz_A,0.8536
length_310_8_25.pdb,6mdy.cif.gz_B,0.7769
length_305_6_49.pdb,1fsp.cif.gz_MODEL_12_A,0.7455
length_230_9_39.pdb,5xkt.cif.gz_B,0.6435
length_190_2_79.pdb,2lci.cif.gz_MODEL_15_A,0.6772
length_270_6_88.pdb,5tkd.cif.gz_B,0.9264
length_180_3_55.pdb,8ju8.cif.gz_A,0.7497
length_485_3_65.pdb,6w2v.cif.gz_B,0.5444
length_425_5_21.pdb,4ovx.cif.gz_A,0.7132
length_420_9_59.pdb,4uiq.cif.gz_B,0.4544
length_465_6_61.pdb,8anq.cif.gz_T,0.5898
length_440_8_85.pdb,7smj.cif.gz_A,0.7579
length_235_8_21.pdb,7e4g.cif.gz_A,0.8408
length_435_9_7.pdb,5gn8.cif.gz_A,0.5292
length_225_6_69.pdb,6dex.cif.gz_A,0.617
length_110_1_84.pdb,2vyz.cif.gz_A,0.9599
length_410_6_6.pdb,8e0m.cif.gz_J,0.5336
length_220_5_75.pdb,2yv4.cif.gz_A,0.7828
length_320_9_69.pdb,1viz.cif.gz_A,0.7488
length_230_8_57.pdb,5yif.cif.gz_A,0.7529
length_145_6_15.pdb,2fo3.cif.gz_A,0.6414
length_215_8_100.pdb,3h7d.cif.gz_E,0.9824
length_375_4_10.pdb,4o8r.cif.gz_I,0.6663
length_455_9_27.pdb,1a37.cif.gz_B,0.5069
length_185_6_2.pdb,3w9s.cif.gz_A,0.7832
length_140_2_39.pdb,6oco.cif.gz_B,0.6362
length_455_7_92.pdb,5xkt.cif.gz_B,0.6097
length_365_1_66.pdb,4bem.cif.gz_J,0.62
length_105_7_43.pdb,4dss.cif.gz_B,0.947
length_135_7_61.pdb,1a18.cif.gz_A,0.9795
length_370_6_25.pdb,3ja6.cif.gz_Q,0.8254
length_360_4_31.pdb,3wk3.cif.gz_A,0.7293
length_395_9_12.pdb,6xr2.cif.gz_E,0.5113
length_435_5_23.pdb,6qvh.cif.gz_A,0.6599
length_290_9_23.pdb,4byi.cif.gz_A,0.9523
length_380_8_48.pdb,8e0l.cif.gz_C,0.6638
length_160_1_1.pdb,3umr.cif.gz_A,0.5864
length_205_7_72.pdb,3td8.cif.gz_A,0.916
length_225_5_44.pdb,3rqi.cif.gz_A,0.6514
length_245_4_32.pdb,6t1h.cif.gz_A,0.9676
length_360_0_81.pdb,7uek.cif.gz_A,0.7221
length_380_6_10.pdb,3ayv.cif.gz_A,0.7067
length_300_7_16.pdb,3qgw.cif.gz_B,0.8952
length_205_8_11.pdb,3fyq.cif.gz_A,0.836
length_190_6_76.pdb,7mnj.cif.gz_B,0.6498
length_295_4_67.pdb,6wvs.cif.gz_A,0.742
length_335_2_63.pdb,7uek.cif.gz_A,0.7333
length_500_2_47.pdb,1xio.cif.gz_A,0.6358
length_115_4_39.pdb,7qz0.cif.gz_A,0.9784
length_370_2_92.pdb,8apj.cif.gz_T1,0.5698
length_230_1_38.pdb,2lk4.cif.gz_MODEL_2_A,0.5857
length_455_5_1.pdb,5c5d.cif.gz_A,0.5729
length_325_8_55.pdb,7ysx.cif.gz_B,0.6748
length_100_4_69.pdb,7o6y.cif.gz_6,0.7543
length_455_8_95.pdb,4e03.cif.gz_B,0.5092
length_225_1_97.pdb,7ji4.cif.gz_A,0.5997
length_160_0_39.pdb,6dfr.cif.gz_A,0.9697
length_240_5_49.pdb,4l85.cif.gz_B,0.8276
length_145_8_69.pdb,4p1z.cif.gz_D,0.6948
length_170_0_6.pdb,6vc8.cif.gz_C,0.9446
length_300_5_76.pdb,4yur.cif.gz_A,0.8396
length_130_8_45.pdb,6hi6.cif.gz_A,0.9757
length_305_7_4.pdb,6vgb.cif.gz_MODEL_15_A,0.6772
length_195_3_42.pdb,5x88.cif.gz_A,0.7746
length_465_9_21.pdb,6btx.cif.gz_A,0.7153
length_500_7_50.pdb,4kly.cif.gz_A,0.4414
length_135_6_39.pdb,1a18.cif.gz_A,0.9877
length_110_7_14.pdb,6k04.cif.gz_A,0.9864
length_430_2_14.pdb,4jq6.cif.gz_B,0.5616
length_385_3_76.pdb,3d19.cif.gz_E,0.5345
length_175_6_14.pdb,2dpx.cif.gz_A,0.9061
length_250_3_15.pdb,5t92.cif.gz_A,0.8948
length_260_3_62.pdb,6niq.cif.gz_B,0.9171
length_125_8_89.pdb,5s9p.cif.gz_A,0.9856
length_430_5_89.pdb,6b4c.cif.gz_I,0.6628
length_245_3_99.pdb,5iy2.cif.gz_B,0.9687
length_305_3_59.pdb,7uek.cif.gz_A,0.6961
length_185_3_8.pdb,1gqo.cif.gz_N,0.7013
length_485_4_89.pdb,2y5y.cif.gz_B,0.5053
length_360_1_61.pdb,7uek.cif.gz_A,0.7942
length_210_1_83.pdb,2gsc.cif.gz_D,0.6941
length_365_8_92.pdb,4naf.cif.gz_A,0.7637
length_285_4_53.pdb,2m6u.cif.gz_MODEL_18_A,0.801
length_385_1_32.pdb,6xr2.cif.gz_C,0.6572
length_490_9_88.pdb,7vg5.cif.gz_A,0.628
length_210_2_44.pdb,1u0s.cif.gz_Y,0.7647
length_270_7_82.pdb,4hi0.cif.gz_F,0.7471
length_435_2_70.pdb,6kkj.cif.gz_B,0.8368
length_150_4_13.pdb,2jcp.cif.gz_A,0.9706
length_405_3_7.pdb,6qxa.cif.gz_B,0.5588
length_475_7_84.pdb,7da5.cif.gz_A,0.8365
length_245_7_84.pdb,2oqa.cif.gz_B,0.9168
length_155_2_29.pdb,1srr.cif.gz_A,0.7854
