PDB_Name,PDB_ID,Max_PDB_TM,RMSD,TM_Score,Length
length_140_8_82,6r0y.cif.gz_J,0.5487,8.381502928519772,0.5191213254448663,140
length_475_0_83,6vq7.cif.gz_g,0.7278,7.954844880193133,0.6069502766826811,475
length_415_7_14,1m62.cif.gz_MODEL_7_A,0.5784,19.216623619808367,0.523309866852268,415
length_275_9_89,7uek.cif.gz_A,0.7761,2.3229873940831185,0.8750140269763517,275
length_270_6_64,5td2.cif.gz_B,0.8205,1.209693279914538,0.950895368945526,270
length_405_0_74,6w6v.cif.gz_L,0.5662,10.738931790126545,0.5356540146401779,405
length_415_4_81,3nyw.cif.gz_C,0.7035,2.4611481170021032,0.8874760902977339,415
length_145_1_89,4xs5.cif.gz_B,0.6551,1.187931189831967,0.922849708506327,145
length_260_7_48,4mld.cif.gz_C,0.6395,1.8281200122814625,0.9074870950628868,260
length_150_5_58,1vyg.cif.gz_A,0.5374,4.7599006677251605,0.6149117684167507,150
length_125_9_28,7v1l.cif.gz_B,0.6052,0.8727508193339341,0.9525886942435082,125
length_280_7_9,6wvs.cif.gz_A,0.781,3.202519262221222,0.8811042064828772,280
length_360_0_78,3lrx.cif.gz_C,0.6628,8.49518329845027,0.7109446383869056,360
length_345_8_82,8ju8.cif.gz_A,0.7231,1.3141516887574758,0.9534391769032374,345
length_170_9_1,6vfi.cif.gz_A,0.546,0.950173299842164,0.956031338575235,170
length_120_4_94,7q83.cif.gz_D,0.7448,0.7205031331009022,0.9657772201219472,120
length_160_4_14,5f0k.cif.gz_B,0.6679,1.1816238545392586,0.9343680981511306,160
length_295_2_78,7tt7.cif.gz_P,0.6451,6.891237125029756,0.5583768553281118,295
length_115_8_63,4qc1.cif.gz_B,0.9813,1.0244301332823924,0.9342185982845236,115
length_285_9_16,4jgk.cif.gz_C,0.5665,4.6895108844906295,0.8216729285155656,285
length_270_4_35,3cg0.cif.gz_C,0.7242,4.642497979673122,0.7598541836447187,270
length_130_6_87,4l4u.cif.gz_A,0.8225,0.6580643462041544,0.9708022744561084,130
length_320_1_2,6clu.cif.gz_D,0.6507,4.88507497181289,0.7115500842294795,320
length_190_9_41,5noc.cif.gz_MODEL_1_A,0.6496,5.566606074475444,0.613665198699798,190
length_220_9_68,5ok1.cif.gz_A,0.8587,1.1845926177977706,0.9471221728764186,220
length_300_8_74,3jr2.cif.gz_A,0.7485,1.253154362488102,0.9519212130005184,300
length_355_3_13,4myg.cif.gz_B,0.8866,1.7308379153866145,0.9336281736489072,355
